Recycle-UCT    2678MiB     2679MiB     20.1%   4.088403s
UCT Agent      2199MiB     2199MiB     20.1%   2.646661s
Recycle-UCT    528MiB      528MiB      20.1%   0.509049s
UCT Agent      191MiB      192MiB      20.1%   0.238137s
Recycle-UCT    0MiB        0MiB        20.1%   0.058896s
UCT Agent      13MiB       13MiB       20.1%   0.050715s
Recycle-UCT    3059MiB     3060MiB     20.1%   4.586488s
UCT Agent      2678MiB     2679MiB     20.1%   3.973647s
Recycle-UCT    2181MiB     2181MiB     20.1%   2.657303s
UCT Agent      560MiB      560MiB      20.1%   0.560053s
Recycle-UCT    66MiB       66MiB       20.1%   0.120652s
UCT Agent      52MiB       52MiB       20.1%   0.121227s
Recycle-UCT    1MiB        1MiB        20.1%   0.046816s
UCT Agent      3MiB        3MiB        20.1%   0.037598s
Recycle-UCT    0MiB        0MiB        20.1%   0.021193s
UCT Agent      3064MiB     3065MiB     20.1%   4.674665s
Recycle-UCT    2678MiB     2679MiB     20.1%   3.861147s
UCT Agent      2202MiB     2202MiB     20.1%   2.582198s
Recycle-UCT    513MiB      513MiB      20.1%   0.513841s
UCT Agent      183MiB      183MiB      20.1%   0.248341s
Recycle-UCT    0MiB        0MiB        20.1%   0.070585s
UCT Agent      12MiB       12MiB       20.1%   0.062595s
Recycle-UCT    0MiB        0MiB        20.1%   0.040889s
UCT Agent      0MiB        0MiB        20.1%   0.035883s
Recycle-UCT    3068MiB     3069MiB     20.1%   4.479398s
UCT Agent      2678MiB     2679MiB     20.1%   4.076218s
Recycle-UCT    2191MiB     2192MiB     20.2%   2.744549s
UCT Agent      575MiB      575MiB      20.2%   0.595806s
Recycle-UCT    109MiB      109MiB      20.2%   0.173876s
UCT Agent      39MiB       39MiB       20.2%   0.102632s
Recycle-UCT    0MiB        0MiB        20.2%   0.05058s
UCT Agent      3MiB        3MiB        20.2%   0.035436s
UCT Agent      3065MiB     3066MiB     20.1%   4.477501s
Recycle-UCT    2680MiB     2681MiB     20.1%   4.153797s
UCT Agent      2197MiB     2198MiB     20.1%   3.026788s
Recycle-UCT    692MiB      693MiB      20.1%   0.718652s
UCT Agent      181MiB      181MiB      20.1%   0.194391s
Recycle-UCT    0MiB        0MiB        20.1%   0.067123s
UCT Agent      12MiB       12MiB       20.1%   0.061103s
Recycle-UCT    0MiB        0MiB        20.1%   0.040811s
UCT Agent      0MiB        0MiB        20.1%   0.020521s
Recycle-UCT    3058MiB     3060MiB     20.1%   4.481669s
UCT Agent      2680MiB     2681MiB     20.1%   4.215834s
Recycle-UCT    2192MiB     2192MiB     20.1%   2.737724s
UCT Agent      576MiB      577MiB      20.1%   0.543114s
Recycle-UCT    94MiB       94MiB       20.1%   0.127664s
UCT Agent      39MiB       39MiB       20.1%   0.098083s
Recycle-UCT    0MiB        0MiB        20.1%   0.048516s
UCT Agent      3MiB        3MiB        20.1%   0.035417s
UCT Agent      3063MiB     3064MiB     20.1%   4.470196s
Recycle-UCT    2680MiB     2681MiB     20.1%   4.153543s
UCT Agent      2190MiB     2191MiB     20.1%   2.801875s
Recycle-UCT    609MiB      609MiB      20.1%   0.641658s
UCT Agent      269MiB      269MiB      20.1%   0.351061s
Recycle-UCT    0MiB        0MiB        20.1%   0.065444s
UCT Agent      12MiB       12MiB       20.1%   0.062053s
Recycle-UCT    0MiB        0MiB        20.1%   0.041185s
UCT Agent      0MiB        0MiB        20.1%   0.035507s
Recycle-UCT    3066MiB     3067MiB     20.1%   4.566501s
UCT Agent      2678MiB     2679MiB     20.9%   4.106623s
Recycle-UCT    2189MiB     2190MiB     21.0%   2.999741s
UCT Agent      596MiB      596MiB      21.0%   0.643136s
Recycle-UCT    101MiB      101MiB      21.0%   0.181712s
UCT Agent      43MiB       43MiB       21.0%   0.10487s
Recycle-UCT    0MiB        0MiB        21.0%   0.045643s
UCT Agent      3067MiB     3068MiB     20.9%   4.742659s
Recycle-UCT    2678MiB     2679MiB     20.9%   4.078671s
UCT Agent      2205MiB     2205MiB     21.1%   2.813541s
Recycle-UCT    521MiB      521MiB      21.1%   0.469367s
UCT Agent      186MiB      186MiB      21.1%   0.234773s
Recycle-UCT    2MiB        2MiB        21.1%   0.063595s
UCT Agent      13MiB       13MiB       21.1%   0.059261s
Recycle-UCT    0MiB        0MiB        21.1%   0.028946s
Recycle-UCT    3076MiB     3078MiB     21.0%   4.756092s
UCT Agent      2678MiB     2679MiB     21.0%   4.021152s
Recycle-UCT    2180MiB     2180MiB     20.8%   2.677117s
UCT Agent      560MiB      560MiB      20.8%   0.570025s
Recycle-UCT    54MiB       54MiB       20.8%   0.110245s
UCT Agent      53MiB       53MiB       20.8%   0.125247s
Recycle-UCT    0MiB        0MiB        20.8%   0.046749s
UCT Agent      3MiB        3MiB        20.8%   0.036799s
Recycle-UCT    0MiB        0MiB        20.8%   0.022269s
UCT Agent      3062MiB     3064MiB     20.7%   4.514475s
Recycle-UCT    2678MiB     2679MiB     20.7%   3.949073s
UCT Agent      2206MiB     2207MiB     20.7%   3.022109s
Recycle-UCT    696MiB      696MiB      20.7%   0.719399s
